id,CpuName,CpuNumberOfCores,CpuNumberOfThreads,CpuFrequency,GpuName,GpuMemorySize,GameResolution,GameSetting,GameName,FPS
13522,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,300.0
13523,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,300.0
13524,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,300.0
13525,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,300.0
13526,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,300.0
13527,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,300.0
13528,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,400.0
13529,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,400.0
13530,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,400.0
13531,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,400.0
13532,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,400.0
13533,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,400.0
13534,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,400.0
13535,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,400.0
13536,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,420.0
13537,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,460.0
13538,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,500.0
13539,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,500.0
13540,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,500.0
13541,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,500.0
13542,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,500.0
13543,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,500.0
13544,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,500.0
13545,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,500.0
13546,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,500.0
13547,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,500.0
13548,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,500.0
13883,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,120.0
13884,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,190.0
13885,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,190.0
13886,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,200.0
13887,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,200.0
13888,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,200.0
13889,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,200.0
13890,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,200.0
13891,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,250.0
13892,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,260.0
13893,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,270.0
13894,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,270.0
13895,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,280.0
13896,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,280.0
13897,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,280.0
13898,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,280.0
13899,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,280.0
13900,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,290.0
13901,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,290.0
13902,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13903,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13904,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13905,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13906,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13907,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13908,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13909,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13910,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13911,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13912,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13913,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13914,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13915,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13916,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13917,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13918,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13919,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13920,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13921,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13922,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13923,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13924,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13925,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13926,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13927,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13928,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13929,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13930,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13931,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13932,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13933,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13934,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13935,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13936,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13937,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13938,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13939,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13940,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13941,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13942,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13943,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13944,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13945,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13946,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13947,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13948,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13949,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13950,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13951,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13952,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13953,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13954,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13955,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13956,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13957,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13958,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13959,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13960,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13961,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13962,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13963,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13964,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13965,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13966,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13967,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13968,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13969,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13970,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13971,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13972,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13973,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13974,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13975,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13976,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13977,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13978,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,330.0
13979,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,350.0
13980,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,350.0
13981,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,350.0
13982,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,350.0
13983,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,350.0
13984,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,350.0
13985,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,350.0
13986,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,350.0
13987,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,350.0
13988,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,350.0
13989,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,350.0
13990,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,350.0
13991,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,350.0
13992,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,350.0
13993,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,350.0
13994,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,350.0
13995,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,350.0
13996,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,350.0
13997,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,360.0
13998,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,380.0
13999,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,380.0
14000,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14001,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14002,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14003,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14004,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14005,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14006,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14007,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14008,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14009,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14010,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14011,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14012,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14013,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14014,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14015,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14016,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14017,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14018,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14019,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14020,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14021,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
14022,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,400.0
